Sample.Name,Notes,,,,Fraction,Sample.Group,Treatment.Group,Bio.Normalization,Blanks
180205_Smp_L1C32DCMless10m_C,,ZIC pHILIC_85 to 15_ACN,1:32,2,HILIC,L1C32DCMless10m,1,1,180205_Blk_SWBlk_1;180205_Blk_SWBlk_2;180205_Blk_SWBlk_3
180205_Smp_L2C1DCMless20m_C,,ZIC pHILIC_85 to 15_ACN,1:33,2,HILIC,L2C1DCMless20m,1,1,180205_Blk_SWBlk_1;180205_Blk_SWBlk_2;180205_Blk_SWBlk_3
180205_Smp_L1C33DCMplus20m_C,,ZIC pHILIC_85 to 15_ACN,1:34,2,HILIC,L1C33DCMplus20m,1,1,180205_Blk_SWBlk_1;180205_Blk_SWBlk_2;180205_Blk_SWBlk_3
180205_Smp_L2C2DCM_C,,ZIC pHILIC_85 to 15_ACN,1:35,2,HILIC,L2C2DCM,1,1,180205_Blk_SWBlk_1;180205_Blk_SWBlk_2;180205_Blk_SWBlk_3
180205_Blk_SWBlk_3,,ZIC pHILIC_85 to 15_ACN,1:11,2,HILIC,,1,1,
180205_Smp_L1C33DCMplus10m_C,,ZIC pHILIC_85 to 15_ACN,1:36,2,HILIC,L1C32DCMless10m,1,1,180205_Blk_SWBlk_1;180205_Blk_SWBlk_2;180205_Blk_SWBlk_3
180205_Smp_L1C32DCMless20m_C,,ZIC pHILIC_85 to 15_ACN,1:37,2,HILIC,L1C32DCMless20m,1,1,180205_Blk_SWBlk_1;180205_Blk_SWBlk_2;180205_Blk_SWBlk_3
180205_Smp_L2C2DCMplus10m_C,,ZIC pHILIC_85 to 15_ACN,1:38,2,HILIC,L2C2DCMplus10m,1,1,180205_Blk_SWBlk_1;180205_Blk_SWBlk_2;180205_Blk_SWBlk_3
180205_Smp_L2C1DCMless10m_C,,ZIC pHILIC_85 to 15_ACN,1:39,2,HILIC,L2C1DCMless10m,1,1,180205_Blk_SWBlk_1;180205_Blk_SWBlk_2;180205_Blk_SWBlk_3
180205_Smp_L1C33DCM_C,,ZIC pHILIC_85 to 15_ACN,1:40,2,HILIC,L1C33DCM,1,1,180205_Blk_SWBlk_1;180205_Blk_SWBlk_2;180205_Blk_SWBlk_3
