"Replicate.Name","Area.Value","Mz.Value","RT.Value","SN.Value","Alignment.ID","Metabolite.name","Adduct.type","MS.MS.assigned","Reference.RT","Reference.m.z","Comment","S.N.average","Spectrum.reference.file.name"
"180920_Poo_Day1and2Poo_Full4",1615521,810.127,5.484,1034.626,"3799","Acetyl CoA, 13C2","[M-H]-","TRUE","5.5","810.12518","Good","1570.76","180920_Poo_Day1Poo_DDAneg20"
"180920_Poo_Day1and2Poo_Full4",697,822.136,7.28,0.949125,"3833","Propionyl CoA","[M-H]-","FALSE","9.03","822.13361","Good, not in samples","2857.73","180920_Std_4uMStdMix4InH2O_2"
"180920_Poo_Day1and2Poo_Full4",0,852.11,0,0,"3885","Malonyl CoA","[M-H]-","FALSE","1.27","852.10779","Good, not in samples","5438.51","180920_Std_4uMStdMix4InH2O_2"
"180920_Poo_Day1and2Poo_Full4",0,866.126,0,0,"3903","Methyl Malonyl CoA","[M-H]-","FALSE","5.37","866.12341","Good, not in samples","554.89","180920_Std_4uMStdMix4InH2O_2"
"180920_Poo_Day1and2Poo_Full5",5945,808.119,5.49,NA,"3793","Acetyl CoA","[M-H]-","TRUE","5.5","808.1193","Good","4802.96","180920_Std_4uMStdMix4InH2O_2"
"180920_Poo_Day1and2Poo_Full5",1537379,810.127,5.482,556.3076,"3799","Acetyl CoA, 13C2","[M-H]-","TRUE","5.5","810.12518","Good","1570.76","180920_Poo_Day1Poo_DDAneg20"
"180920_Poo_Day1and2Poo_Full5",822,822.136,7.206,1.107158,"3833","Propionyl CoA","[M-H]-","FALSE","9.03","822.13361","Good, not in samples","2857.73","180920_Std_4uMStdMix4InH2O_2"
"180920_Poo_Day1and2Poo_Full5",0,852.11,0,0,"3885","Malonyl CoA","[M-H]-","FALSE","1.27","852.10779","Good, not in samples","5438.51","180920_Std_4uMStdMix4InH2O_2"
"180920_Poo_Day1and2Poo_Full5",0,866.126,0,0,"3903","Methyl Malonyl CoA","[M-H]-","FALSE","5.37","866.12341","Good, not in samples","554.89","180920_Std_4uMStdMix4InH2O_2"
"180920_Poo_Day1and2Poo_Half1",2481,808.119,5.495,NA,"3793","Acetyl CoA","[M-H]-","TRUE","5.5","808.1193","Good","4802.96","180920_Std_4uMStdMix4InH2O_2"
"180920_Poo_Day1and2Poo_Half1",1549369,810.127,5.481,635.1659,"3799","Acetyl CoA, 13C2","[M-H]-","TRUE","5.5","810.12518","Good","1570.76","180920_Poo_Day1Poo_DDAneg20"
"180920_Poo_Day1and2Poo_Half1",0,822.136,0,0,"3833","Propionyl CoA","[M-H]-","FALSE","9.03","822.13361","Good, not in samples","2857.73","180920_Std_4uMStdMix4InH2O_2"
"180920_Poo_Day1and2Poo_Half1",0,852.11,0,0,"3885","Malonyl CoA","[M-H]-","FALSE","1.27","852.10779","Good, not in samples","5438.51","180920_Std_4uMStdMix4InH2O_2"
"180920_Poo_Day1and2Poo_Half1",0,866.126,0,0,"3903","Methyl Malonyl CoA","[M-H]-","FALSE","5.37","866.12341","Good, not in samples","554.89","180920_Std_4uMStdMix4InH2O_2"
"180920_Poo_Day1and2Poo_Half2",0,808.119,5.483,NA,"3793","Acetyl CoA","[M-H]-","TRUE","5.5","808.1193","Good","4802.96","180920_Std_4uMStdMix4InH2O_2"
"180920_Poo_Day1and2Poo_Half2",545204,810.128,5.508,450.4419,"3799","Acetyl CoA, 13C2","[M-H]-","TRUE","5.5","810.12518","Good","1570.76","180920_Poo_Day1Poo_DDAneg20"
"180920_Poo_Day1and2Poo_Half2",0,822.136,0,0,"3833","Propionyl CoA","[M-H]-","FALSE","9.03","822.13361","Good, not in samples","2857.73","180920_Std_4uMStdMix4InH2O_2"
"180920_Poo_Day1and2Poo_Half2",0,852.11,0,0,"3885","Malonyl CoA","[M-H]-","FALSE","1.27","852.10779","Good, not in samples","5438.51","180920_Std_4uMStdMix4InH2O_2"
"180920_Poo_Day1and2Poo_Half2",0,866.126,0,0,"3903","Methyl Malonyl CoA","[M-H]-","FALSE","5.37","866.12341","Good, not in samples","554.89","180920_Std_4uMStdMix4InH2O_2"
"180920_Poo_Day1and2Poo_Half3",3401,808.119,5.488,NA,"3793","Acetyl CoA","[M-H]-","TRUE","5.5","808.1193","Good","4802.96","180920_Std_4uMStdMix4InH2O_2"
"180920_Poo_Day1and2Poo_Half3",1236297,810.128,5.488,777.7966,"3799","Acetyl CoA, 13C2","[M-H]-","TRUE","5.5","810.12518","Good","1570.76","180920_Poo_Day1Poo_DDAneg20"
"180920_Poo_Day1and2Poo_Half3",0,822.136,0,0,"3833","Propionyl CoA","[M-H]-","FALSE","9.03","822.13361","Good, not in samples","2857.73","180920_Std_4uMStdMix4InH2O_2"
"180920_Poo_Day1and2Poo_Half3",0,852.11,0,0,"3885","Malonyl CoA","[M-H]-","FALSE","1.27","852.10779","Good, not in samples","5438.51","180920_Std_4uMStdMix4InH2O_2"
"180920_Poo_Day1and2Poo_Half3",0,866.126,0,0,"3903","Methyl Malonyl CoA","[M-H]-","FALSE","5.37","866.12341","Good, not in samples","554.89","180920_Std_4uMStdMix4InH2O_2"
"180920_Poo_Day1and2Poo_Half4",4478,808.119,5.493,NA,"3793","Acetyl CoA","[M-H]-","TRUE","5.5","808.1193","Good","4802.96","180920_Std_4uMStdMix4InH2O_2"
"180920_Poo_Day1and2Poo_Half4",1151370,810.127,5.485,887.969,"3799","Acetyl CoA, 13C2","[M-H]-","TRUE","5.5","810.12518","Good","1570.76","180920_Poo_Day1Poo_DDAneg20"
"180920_Poo_Day1and2Poo_Half4",0,822.136,0,0,"3833","Propionyl CoA","[M-H]-","FALSE","9.03","822.13361","Good, not in samples","2857.73","180920_Std_4uMStdMix4InH2O_2"
"180920_Poo_Day1and2Poo_Half4",0,852.11,0,0,"3885","Malonyl CoA","[M-H]-","FALSE","1.27","852.10779","Good, not in samples","5438.51","180920_Std_4uMStdMix4InH2O_2"
"180920_Poo_Day1and2Poo_Half4",0,866.126,0,0,"3903","Methyl Malonyl CoA","[M-H]-","FALSE","5.37","866.12341","Good, not in samples","554.89","180920_Std_4uMStdMix4InH2O_2"
