"SampID","totalCmeasured_nM_perID","totalNmeasured_nM_perID"
"4uMStdMix4InH2O",0,0
"4uMStdMix4InMatrix",0,0
"Day1and2Poo",0.169420695257713,0.0515628202958257
"Day1Poo",0.0324000762295649,0.00986089276551976
"H2OinMatrix",0,0
"MesoScopeQC",0.166728872513132,0.050743569895301
"MS10C215m",0.141634790391173,0.0431062405538352
"MS10C2175m",0.0104880389281207,0.00319201184768892
"MS10C2DCM",0.110334557882355,0.0335800828337602
"MS11C215m",0.141813746238971,0.043160705377078
"MS11C2175m",0.00398103178043819,0.00121161836795945
"MS11C2DCM",0.116781488085574,0.0355421920260441
"MS12C115m",0.172570308155953,0.0525213981344205
"MS12C1175m",0.00212617725657742,0.000647097425914866
"MS12C1DCM",0.129516021445731,0.0394179195704399
"MS13C2175m",0.00973379914594513,0.00296246060963548
"MS13C2DCM",0.0966439186427332,0.0294133665434405
"MS13C315m",0.129457650636573,0.0394001545415656
"MS14C215m",0.169098018418713,0.0514646143013474
"MS14C2175m",0.0445182957565088,0.0135490465345896
"MS14C2DCM",0.0882161509810612,0.0268483937768447
"MS4C115m",0.0975499290781573,0.029689108849874
"MS4C1175m",0.00392833127035545,0.00119557908228209
"MS4C1DCM",0.0928318453977588,0.0282531703384483
"MS5C115m",0.10598393795561,0.0322559811169249
"MS5C1175m",0.0206277755165288,0.0062780186354653
"MS5C1DCM",0.0844855234056535,0.0257129853843293
"MS6C315m",0.14883631939841,0.0452980102516901
"MS6C3175m",0.0348132190281738,0.0105953275303138
"MS6C3DCM",0.0797800999183641,0.0242808999751543
"MS7C115m",0.111067251602264,0.0338030765746021
"MS7C1175m",0.0187554181040173,0.00570817072730962
"MS7C1DCM",0.103833520028699,0.0316015060956909
"MS8C115m",0.0985220918245335,0.0299849844683363
"MS8C1175m",0.0225483569586933,0.00686254342221102
"MS8C1DCM",0.0858109251103664,0.0261163685118506
"MS9C215m",0.169247622155631,0.0515101458734528
"MS9C2175m",0.024918041600967,0.00758375179159865
"MS9C2DCM",0.100493023129142,0.0305848331262605
"SWBlk",0,0
